answer,battleName,belligerentA,belligerentB,date,leaderAImageLink,leaderAName,leaderBImageLink,leaderBName,location,wikipediaBlurb,wikipediaLink
B,Belgorod–Kharkov offensive operation,Germany,Soviet Union,3–23 August 1943,//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Bundesarchiv_Bild_183-H01757%2C_Erich_von_Manstein.jpg/220px-Bundesarchiv_Bild_183-H01757%2C_Erich_von_Manstein.jpg,Erich von Manstein,//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Ivan_Stepanovich_Konev.jpg/220px-Ivan_Stepanovich_Konev.jpg,Ivan Konev,"Kharkov, Ukrainian SSR, Soviet Union","The Belgorod–Kharkov strategic offensive operation, or simply Belgorod–Kharkov offensive operation, was a Soviet strategic summer offensive that aimed to recapture Belgorod and Kharkov (Kharkiv), and destroy the German forces of the 4th Panzer Army and Army Detachment Kempf. The operation was codenamed Operation Polkovodets Rumyantsev (Russian: Пол...",https://en.wikipedia.org/wiki/Belgorod%E2%80%93Kharkov_offensive_operation
B,Battle of Big Sandy Creek,United Kingdom,United States,"May 29–30, 1814",,,,Melancthon T. Woosley,Ellisburg,"The Battle of Big Sandy Creek was fought in northwestern New York on May 29–30, 1814, during the War of 1812. American troops and Oneida Indians launched an attempted surprise attack on British troops and sailors, who were pursuing them inland from Lake Ontario.",https://en.wikipedia.org/wiki/Battle_of_Big_Sandy_Creek
A,Battle of Mill Springs,United States,CSA (Confederacy),"January 19, 1862",//upload.wikimedia.org/wikipedia/commons/thumb/d/df/George_Henry_Thomas_-_Brady-Handy.jpg/220px-George_Henry_Thomas_-_Brady-Handy.jpg,George H. Thomas,//upload.wikimedia.org/wikipedia/commons/thumb/4/43/George-B-Crittenden.jpg/220px-George-B-Crittenden.jpg,George B. Crittenden,"Pulaski County, Wayne County, Kentucky","The Battle of Mill Springs, also known as the Battle of Fishing Creek in Confederate terminology, and the Battle of Logan's Cross Roads in Union terminology, was fought in Wayne and Pulaski counties, near current Nancy, Kentucky, on January 19, 1862, as part of the American Civil War. The Union victory concluded an early Confederate offensive campa...",https://en.wikipedia.org/wiki/Battle_of_Mill_Springs
A,Battle of Port Republic,United States,Confederate States,"June 9, 1862",//upload.wikimedia.org/wikipedia/commons/thumb/8/80/Gen-ebtyler.jpg/220px-Gen-ebtyler.jpg,Erastus B. Tyler,//upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Stonewall_Jackson_by_Routzahn%2C_1862.png/220px-Stonewall_Jackson_by_Routzahn%2C_1862.png,Stonewall Jackson,"Rockingham County, Virginia","The Battle of Port Republic was fought on June 9, 1862, in Rockingham County, Virginia, as part of Confederate Army Maj. Gen. Thomas J. ""Stonewall"" Jackson's campaign through the Shenandoah Valley during the American Civil War. Port Republic was a fierce contest between two equally determined foes and was the most costly battle fought by Jackson's ...",https://en.wikipedia.org/wiki/Battle_of_Port_Republic
A,Battle of Poplar Grove,,South African Republic,7 March 1900,//upload.wikimedia.org/wikipedia/commons/thumb/4/41/Earl_Roberts_of_Kandahar.jpg/220px-Earl_Roberts_of_Kandahar.jpg,Lord Roberts,//upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Christiaan_de_Wet4.jpg/255px-Christiaan_de_Wet4.jpg,Christiaan de Wet,Orange Free State,The Battle of Poplar Grove was an incident on 7 March 1900 during the Second Boer War in South Africa. It followed on from the Relief of Kimberley as the British Army moved to take the Boer capital of Bloemfontein.  The Boers were demoralised following the surrender of Piet Cronjé at the Battle of Paardeberg.  General Sir John French's cavalry atta...,https://en.wikipedia.org/wiki/Battle_of_Poplar_Grove
A,Battle of Siikajoki,Sweden,Russian Empire,18 April 1808,//upload.wikimedia.org/wikipedia/commons/thumb/6/67/Carl_Johan_Adlercreutz.jpg/220px-Carl_Johan_Adlercreutz.jpg,Carl Johan Adlercreutz,,Yakov Petrovich Kulnev,"Oulu, Finland","The Battle of Siikajoki (Finnish: Siikajoen taistelu) was fought between Swedish and Russian troops on 18 April 1808 at Siikajoki, approximately 60 km south of Oulu, Finland. During the first stage of the Finnish War, the Swedish commander Wilhelm Mauritz Klingspor had decided to retreat from southern Finland, so that the Swedes would gain time, an...",https://en.wikipedia.org/wiki/Battle_of_Siikajoki
A,Battle of Gwynn's Island,United States,Loyalists,"July 8–10, 1776",//upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Andrew_Lewis_%28from_the_statue_in_Richmond%29_%28NYPL_Hades-256493-EM14797%29.tiff/lossy-page1-220px-Andrew_Lewis_%28from_the_statue_in_Richmond%29_%28NYPL_Hades-256493-EM14797%29.tiff.jpg,Andrew Lewis,//upload.wikimedia.org/wikipedia/commons/thumb/1/12/Sir_Joshua_Reynolds_-_John_Murray%2C_4th_Earl_of_Dunmore_-_Google_Art_Project.jpg/220px-Sir_Joshua_Reynolds_-_John_Murray%2C_4th_Earl_of_Dunmore_-_Google_Art_Project.jpg,Lord Dunmore,"Gwynn, Virginia","The Battle of Gwynn's Island (July 8–10, 1776) saw Andrew Lewis lead patriot soldiers from Virginia against John Murray, 4th Earl of Dunmore's small naval squadron and British loyalist troops. In this American Revolutionary War action, accurate cannonfire from the nearby Virginia mainland persuaded Dunmore to abandon his base at Gwynn's Island. Whi...",https://en.wikipedia.org/wiki/Battle_of_Gwynn%27s_Island
A,Siege of Annapolis Royal,Great Britain,Mi'kmaq,2–23 May 1745 (old style),//upload.wikimedia.org/wikipedia/commons/thumb/3/3f/WLA_lacma_Smibert_Scotland_portrait_of_Paul_Mascarene.jpg/220px-WLA_lacma_Smibert_Scotland_portrait_of_Paul_Mascarene.jpg,Paul Mascarene,,Paul Marin de la Malgue,"Fort Anne, Annapolis Royal, Nova Scotia","The Siege of Annapolis Royal in 1745 involved the third of four attempts by the French, along with their Acadian and native allies, to regain the capital of Nova Scotia/Acadia, Annapolis Royal, during King George's War. During the siege William Pote was taken prisoner and wrote one of the rare captivity narratives that exist from Nova Scotia and Ac...",https://en.wikipedia.org/wiki/Siege_of_Annapolis_Royal_(1745)
A,Battle of Peterswalde,Prussia,Holy Roman Empire,14 April – 20 April 1759,//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Prinz_heinrich_von_preussen_00.png/220px-Prinz_heinrich_von_preussen_00.png,Prince Henry of Prussia,//upload.wikimedia.org/wikipedia/commons/thumb/2/23/Gideon_Ernst_Freiherr_von_Laudon.jpg/220px-Gideon_Ernst_Freiherr_von_Laudon.jpg,Ernst Gideon von Laudon,"Peterswald, Bohemia, Holy Roman Empire","The Prussian Bohemia Incursion was a military campaign led by the Prince Henry of Prussia during the Third Silesian War (part of the Seven Years' War), to disrupt the Austrian military capacity by launching incursions against its military infrastructure in Bohemia.",https://en.wikipedia.org/wiki/Battle_of_Peterswalde
B,Siege of Masulipatam,British East India Company,French East India Company,6 March to 7 April 1759,,Francis Forde,//upload.wikimedia.org/wikipedia/commons/6/69/Hubert_de_Brienne%2C_comte_de_Conflans.jpg,Comte de Conflans,"Machilipatnam, India",The Siege of Masulipatam was a British siege of the French-held town of Masulipatam in India during the Seven Years' War. The siege commenced on 6 March 1759 and lasted until the storming of the town by the British on the 7 April. The British were commanded by Colonel Francis Forde while the French defenders were under the command of Conflans.,https://en.wikipedia.org/wiki/Siege_of_Masulipatam
