answer,battleName,belligerentA,belligerentB,date,leaderAImageLink,leaderAName,leaderBImageLink,leaderBName,location,wikipediaBlurb,wikipediaLink
A,Battle of Springfield,United States,Great Britain,"June 23, 1780",//upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Greene_portrait.jpg/220px-Greene_portrait.jpg,Nathanael Greene,//upload.wikimedia.org/wikipedia/commons/thumb/7/76/Wilhelm_von_Knyphausen.jpg/220px-Wilhelm_von_Knyphausen.jpg,Wilhelm von Knyphausen,"Springfield Township, Essex County, Union County, New Jersey","The Battle of Springfield was fought during the American Revolutionary War on June 23, 1780, in Essex County, New Jersey. After the Battle of Connecticut Farms, on June 7, 1780, had foiled  Lieutenant General Wilhelm, Baron von Knyphausen’s expedition to attack General George Washington’s army at Morristown, New Jersey, Knyphausen and Lieutenant Ge...",https://en.wikipedia.org/wiki/Battle_of_Springfield_(1780)
A,Battle of Lonato,France,Austria,3–4 August 1796,//upload.wikimedia.org/wikipedia/commons/thumb/5/50/Jacques-Louis_David_-_The_Emperor_Napoleon_in_His_Study_at_the_Tuileries_-_Google_Art_Project.jpg/220px-Jacques-Louis_David_-_The_Emperor_Napoleon_in_His_Study_at_the_Tuileries_-_Google_Art_Project.jpg,Napoleon Bonaparte,//upload.wikimedia.org/wikipedia/en/thumb/a/ab/Peter_Quasdanovich.jpg/200px-Peter_Quasdanovich.jpg,Peter Quasdanovich,"Lonato del Garda, Italy",The Battle of Lonato was fought on 3 and 4 August 1796 between the French Army of Italy under General Napoleon Bonaparte and a corps-sized Austrian column led by Lieutenant General Peter Quasdanovich. A week of hard-fought actions that began on 29 July and ended on 4 August resulted in the retreat of Quasdanovich's badly mauled force. The eliminati...,https://en.wikipedia.org/wiki/Battle_of_Lonato
,Battle of Lobositz,Prussia,Austria,1 October 1756,//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Friedrich_der_Gro%C3%9Fe_-_Johann_Georg_Ziesenis_-_Google_Cultural_Institute_%28cropped_2%29.jpg/220px-Friedrich_der_Gro%C3%9Fe_-_Johann_Georg_Ziesenis_-_Google_Cultural_Institute_%28cropped_2%29.jpg,Frederick the Great,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Statue_Maximilian_Ulysses_Browne.jpg/220px-Statue_Maximilian_Ulysses_Browne.jpg,Maximilian Ulysses Browne,"Lovosice, Bohemia, Czech Republic","The Battle of Lobositz or Lovosice also Lowositz on 1 October 1756 was the opening land battle of the Third Silesian War and the wider Seven Years' War. Frederick the Great's 28,000 Prussians were prevented by 33,000 Austrians under Maximilian Ulysses Count von Browne from continuing their invasion into the rich Bohemian plain, forcing Frederick to...",https://en.wikipedia.org/wiki/Battle_of_Lobositz
B,Battle of Dirschau,Polish–Lithuanian Commonwealth,Swedish Empire,7–8 August 1627 (,//upload.wikimedia.org/wikipedia/commons/thumb/6/66/Stanis%C5%82aw_Koniecpolski.PNG/230px-Stanis%C5%82aw_Koniecpolski.PNG,Stanisław Koniecpolski,//upload.wikimedia.org/wikipedia/commons/thumb/2/22/Attributed_to_Jacob_Hoefnagel_-_Gustavus_Adolphus%2C_King_of_Sweden_1611-1632_-_Google_Art_Project.jpg/220px-Attributed_to_Jacob_Hoefnagel_-_Gustavus_Adolphus%2C_King_of_Sweden_1611-1632_-_Google_Art_Project.jpg,Gustavus Adolphus of Sweden,"Tczew, Royal Prussia, Crown of the Kingdom of Poland","The Battle of Dirschau (also known as Battle of Tczew) took place in the summer of 1627 (17–18 August) and was one of the battles of the Polish–Swedish War (1626–29). The Polish forces led by Crown Field Hetman Stanisław Koniecpolski met with troops commanded by Swedish King Gustavus Adolphus of Sweden. Gustavus Adolphus was wounded in the battle, ...",https://en.wikipedia.org/wiki/Battle_of_Dirschau
A,Battle of the Sound,Dutch Republic,Sweden,29 October 1658,//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Witte_Cornelisz_de_With_%281599%E2%80%931658%29%2C_by_Abraham_van_Westerveldt.jpg/220px-Witte_Cornelisz_de_With_%281599%E2%80%931658%29%2C_by_Abraham_van_Westerveldt.jpg,Witte de With,//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Portr%C3%A4tt_av_greve_Carl_Gustaf_Wrangel_%281613-1676%29%2C_riksmarsk_och_generalf%C3%A4ltherre_-_Skoklosters_slott_-_97392.tif/lossy-page1-220px-Portr%C3%A4tt_av_greve_Carl_Gustaf_Wrangel_%281613-1676%29%2C_riksmarsk_och_generalf%C3%A4ltherre_-_Skoklosters_slott_-_97392.tif.jpg,Carl Wrangel,"Øresund, Baltic Sea","The naval Battle of the Sound took place on 8 November 1658 (29 October O.S.) during the Second Northern War, near the Sound or Øresund, just north of the Danish capital, Copenhagen. Sweden had invaded Denmark and an army under Charles X of Sweden had Copenhagen itself under siege. The Dutch fleet was sent to prevent Sweden from gaining control of ...",https://en.wikipedia.org/wiki/Battle_of_the_Sound
B,Battle of Olasch,Holy Roman Empire,Ottoman Empire,26 August 1696,//upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Louis_de_Silvestre-August_II.jpg/220px-Louis_de_Silvestre-August_II.jpg,Augustus II the Strong,//upload.wikimedia.org/wikipedia/commons/thumb/0/02/Mustafa_II_dressed_in_full_armour.JPG/220px-Mustafa_II_dressed_in_full_armour.JPG,Mustafa II,"Bega River, Romania and Serbia","The Battle of Olasch (also Ólas, Ulaş, Olaschin) took place after a Habsburg Imperial army led by Saxon Elector General, Augustus II the Strong, laid siege to Turkish held Temesvar. On 26 August 1696, after learning that Sultan Mustafa II's relief army was crossing the Danube at Pančevo, Augustus gave up the siege and headed to meet the Ottoman arm...",https://en.wikipedia.org/wiki/Battle_of_Ula%C5%9F
A,Battle of Nisko,Swedish Empire,Polish–Lithuanian Commonwealth,"March 28, 1656",//upload.wikimedia.org/wikipedia/commons/thumb/4/46/King_Charles_X_Gustavus_%28S%C3%A9bastien_Bourdon%29_-_Nationalmuseum_-_19702.tif/lossy-page1-220px-King_Charles_X_Gustavus_%28S%C3%A9bastien_Bourdon%29_-_Nationalmuseum_-_19702.tif.jpg,Charles X Gustav,"//upload.wikimedia.org/wikipedia/commons/thumb/0/06/Czarniecki_1.jpg/225px-Czarniecki_1.jpg,//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/POL_COA_%C5%81odzia.svg/55px-POL_COA_%C5%81odzia.svg.png",Stefan Czarniecki,"Nisko, Poland","The Battle of Nisko took place on March 28, 1656, and was one of battles of the Swedish invasion of Poland. It resulted in a victory of Swedish forces, commanded by King Charles X Gustav.",https://en.wikipedia.org/wiki/Battle_of_Nisko
A,Battle of Wetzell's Mill,,United States,"March 6, 1781",//upload.wikimedia.org/wikipedia/commons/thumb/0/05/Banastre-Tarleton-by-Joshua-Reynolds.jpg/250px-Banastre-Tarleton-by-Joshua-Reynolds.jpg,Banastre Tarleton,//upload.wikimedia.org/wikipedia/commons/thumb/d/d1/WILLIAMS_exb.jpg/220px-WILLIAMS_exb.jpg,Otho Williams,"Guilford County, North Carolina","The Battle of Wetzell's Mill (the name may also be spelled Weitzell, Weitzel, Whitesell, or Whitsall) was an American Revolutionary War battle fought on March 6, 1781, between detachments of Nathanael Greene's Continental Army and militia and Banastre Tarleton's Loyalist provincial troops in Guilford County, North Carolina.",https://en.wikipedia.org/wiki/Battle_of_Wetzell%27s_Mill
A,Siege of Nagykanizsa,Ottoman Empire,Habsburg Austria,9 September 1601 – 18 November 1601,//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Tiryaki_hassan.jpg/220px-Tiryaki_hassan.jpg,Tiryaki Hasan Pasha,//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Portrait_of_Ferdinand_II%2C_Holy_Roman_Emperor_%28Kunsthistorisches_Museum%2C_Wien%29.jpg/220px-Portrait_of_Ferdinand_II%2C_Holy_Roman_Emperor_%28Kunsthistorisches_Museum%2C_Wien%29.jpg,Archduke Ferdinand,"Naģykanizsa, Ottoman Empire","During the siege of Naģykanizsa (Turkish: Kanije Savunması, lit. 'The Defence of Kanizsa') in 1601, a small Ottoman force held the fortress of Naģykanizsa in western Hungary against a much larger coalition army of the Habsburg monarchy, while inflicting heavy losses on its besiegers.",https://en.wikipedia.org/wiki/Siege_of_Nagykanizsa
B,Battle of Chotusitz,Austria,Prussia,17 May 1742,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Martin_van_Meytens_007.jpg/220px-Martin_van_Meytens_007.jpg,Charles of Lorraine,//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Friedrich_der_Gro%C3%9Fe_-_Johann_Georg_Ziesenis_-_Google_Cultural_Institute_%28cropped_2%29.jpg/220px-Friedrich_der_Gro%C3%9Fe_-_Johann_Georg_Ziesenis_-_Google_Cultural_Institute_%28cropped_2%29.jpg,Frederick the Great,"Chotusice, Bohemia","The Battle of Chotusitz, or Chotusice, sometimes called the Battle of Czaslau (today: Čáslav), took place on 17 May 1742, in Bohemia, now the Czech Republic; it was part of the 1740 to 1742 First Silesian War, itself a subsidiary of the wider War of the Austrian Succession.",https://en.wikipedia.org/wiki/Battle_of_Chotusitz
